Feature,Importance
"categorical__Address_orchid petals, Sector 54, Gurgaon, Delhi NCR",0.0009669229739379602
"categorical__Address_N Block, GK II, New Delhi - South, Delhi NCR",0.0009585086076253804
"categorical__Address_DLF City Phase 2, Gurgaon, Cyber City, Gurgaon, Delhi NCR",0.000939205534947414
"categorical__Address_Sector 28, Gurgaon, Sector 54, Gurgaon, Delhi NCR",0.0009336506590437038
"categorical__Address_nearby DAV school 14 OPP MARKET, Sector 14, Faridabad, Delhi NCR",0.000929212924242775
"categorical__Address_Sector 72, Gurgaon, Delhi NCR",0.0009077145913879492
"categorical__Address_Sector 67, Gurgaon, Delhi NCR",0.0008927569993937446
"categorical__Address_Sector 50, Gurgaon, Delhi NCR",0.0008913015977030912
"categorical__Address_Vasant Kunj, New Delhi - South, Delhi NCR",0.0008795482628492084
"categorical__Address_Sector 62, Gurgaon, Delhi NCR",0.0008386812682208289
"categorical__Address_South City 1, Gurgaon, Delhi NCR",0.000838497084487751
"categorical__Address_C- 85., Sector 39 Block C, Noida, Delhi NCR",0.0008345281254406674
"categorical__Address_D Block, Sector 48 Block D, Noida, Delhi NCR",0.0008158955003291716
"categorical__Address_August Kranti marg, New Delhi - South, Delhi NCR",0.0008053499627453076
"categorical__Address_1413., Sector 15 Part 2, Gurgaon, Delhi NCR",0.0007903872430304919
"categorical__Address_GK II, New Delhi - South, Delhi NCR",0.0007827662585836255
"categorical__Address_Sushant Lok 1, Gurgaon, Delhi NCR",0.0007801302425521921
"categorical__Address_South Extension 1, New Delhi - South, Delhi NCR",0.0007723584451216104
"categorical__Address_DLF City Phase 3, Gurgaon, Delhi NCR",0.0007580569969734107
"categorical__Address_Chittaranjan Park, New Delhi - South, Delhi NCR",0.0007530028229057314
"categorical__Address_Sector 23, Sector 23, Gurgaon, Delhi NCR",0.0007515034339830185
"categorical__Address_50 metres from khandsa road, Sector 11, Gurgaon, Delhi NCR",0.000750909553772869
"categorical__Address_block C both east facing kothi on 12 mtr road, Sector 100 Block C, Noida, Delhi NCR",0.0007498861188436946
"categorical__Address_NH 24, Ghaziabad, Delhi NCR",0.0007477512483781545
"categorical__Address_Block c., Sector 109, Gurgaon, Delhi NCR",0.0007448335019238895
"categorical__Address_Sector 150, Noida, Sector 150, Noida, Delhi NCR",0.0007447030580432885
"categorical__Address_Bharat Nagar - Ashok Vihar, New Delhi - North, Delhi NCR",0.0007253187955430035
"categorical__Address_Dlf City Phase 4, Gurgaon, Delhi NCR",0.0007223648970885486
"categorical__Address_Sarita Vihar New Delhi, Sarita Vihar Pocket B, New Delhi - South, Delhi NCR",0.0007213586447295673
"categorical__Address_New Delhi, Meera Bagh, New Delhi - West, Delhi NCR",0.0007045818975504842
"categorical__Address_New Delhi, Safdarjung Enclave, Safdarjung Enclave, New Delhi - South, Delhi NCR",0.0006997709589484228
"categorical__Address_Patel Nagar East, New Delhi - West, Delhi NCR",0.0006969468567870873
"categorical__Address_Sector 59, Gurgaon, Sector 59, Gurgaon, Delhi NCR",0.0006887663554618003
"categorical__Address_Mayur Vihar 1, New Delhi - East, Delhi NCR",0.0006832858899637213
"categorical__Address_Sector 62, Gurgaon, Sector 62, Gurgaon, Delhi NCR",0.0006813871599137401
"categorical__Address_mailbu town sector 47 gurgaon, Malibu Town, Gurgaon, Delhi NCR",0.0006803000065505728
"categorical__Address_penthouse 1 tower 14 ATS advantages phase 2 Ahinsa Khand 2 indrapuram Ghaziabad, Indirapuram, Ghaziabad, Delhi NCR",0.0006794243763534778
"categorical__Address_Sector 128, Noida, Delhi NCR",0.000656830822963815
"categorical__Address_Sultanpur, New Delhi, Sultanpur, New Delhi - South, Delhi NCR",0.0006558808714055425
"categorical__Address_Sushant Lok 1 Block C, Gurgaon, Delhi NCR",0.0006554643272455069
"categorical__Address_Suraj Kund, Faridabad, Delhi NCR",0.0006530019790945157
"categorical__Address_Malviya Nagar New Delhi, Malviya Nagar, New Delhi - South, Delhi NCR",0.0006495585550965634
"categorical__Address_Sector 112, Dwarka Expressway, Gurugram, Haryana 122007, Sector 112, Gurgaon, Delhi NCR",0.0006424072792746214
"categorical__Address_H-275 upper ground floor Vikaspuri New Delhi 110018, Vikaspuri, New Delhi - West, Delhi NCR",0.0006269077969161324
"categorical__Address_Sector C Vasant Kunj, New Delhi - South, Delhi NCR",0.000618157170580298
"categorical__Address_B-1/30., Janakpuri Block B1, New Delhi - West, Delhi NCR",0.0006176606512928255
"categorical__Address_House no C3 67 sector 31 Noida, Sector 31, Noida, Delhi NCR",0.0006031520621708587
